1116
qstr_{reg61}.{reg62} {reg61}.{reg62}
qstr_Shot_distance:_{s1}_ Shot_distance:_{s1}_meters.
qstr_Shield_received_{reg Shield_received_{reg4}_damage.
qstr_Delivered_{reg4}_dam Delivered_{reg4}_damage_to_shield.
qstr_{reg1}.0 {reg1}.0
qstr_{reg1}.00{reg2} {reg1}.00{reg2}
qstr_{reg1}.0{reg2} {reg1}.0{reg2}
qstr_{reg1}.{reg2} {reg1}.{reg2}
qstr_Custom_Commander:_Sk Custom_Commander:_Skill_Overhaul_v{s1}
qstr_Next_Page Next_Page
qstr_Game_Rules:^ Game_Rules:^
qstr_0 0
qstr_Show_game_rules Show_game_rules
qstr_Continue... Continue...
qstr_Action Action
qstr_Mount Mount
qstr_Attack_Type Attack_Type
qstr_Stand_Ground Stand_Ground
qstr_Charge Charge
qstr_Follow_Me Follow_Me
qstr_Hold_This_Position Hold_This_Position
qstr_Spread_Out Spread_Out
qstr_Stand_Closer Stand_Closer
qstr_Fall_Back Fall_Back
qstr_Advance Advance
qstr_Dismount Dismount
qstr_Fire_At_Will Fire_At_Will
qstr_Hold_Your_Fire Hold_Your_Fire
qstr_Use_Blunt_Weapons Use_Blunt_Weapons
qstr_Use_Any_Weapon Use_Any_Weapon
qstr_Ready Ready
qstr_Wounded Wounded
qstr_Dead Dead
qstr_Number_of_men_knocke Number_of_men_knocked_down:_{reg1}
qstr_Number_of_men_left:_ Number_of_men_left:_{reg1}
qstr_Opponents_Beaten:_{r Opponents_Beaten:_{reg1}
qstr_Opponents_Remaining: Opponents_Remaining:_{reg1}
qstr_Remain_in_retirement Remain_in_retirement.
qstr_Go_back_to_the_adven Go_back_to_the_adventuring.
qstr_You_have_retired_at_ You_have_retired_at_level_{reg4}_after_{reg5}_days_of_adventuring.
qstr_Effect_on_Score Effect_on_Score
qstr_Settlements_owned_by Settlements_owned_by_you:_{reg0}
qstr_{!}{reg0?+:}{reg0} {!}{reg0?+:}{reg0}
qstr_Friendly_Settlements Friendly_Settlements:_{reg0}
qstr_Hostile_Settlements: Hostile_Settlements:_{reg0}
qstr_{!}{reg0} {!}{reg0}
qstr_Friendly_Lords:_{reg Friendly_Lords:_{reg0}
qstr_Enemy_Lords:_{reg0} Enemy_Lords:_{reg0}
qstr_Victories:_{reg0} Victories:_{reg0}
qstr_Defeats:_{reg0} Defeats:_{reg0}
qstr_Quests_Completed:_{r Quests_Completed:_{reg0}
qstr_Companions_Found:_{r Companions_Found:_{reg0}
qstr_Companions_Lost/Depa Companions_Lost/Departed:_{reg0}
qstr_Wealth:_{reg0}_denar Wealth:_{reg0}_denars
qstr_Inventory:_{reg0}_de Inventory:_{reg0}_denars
qstr_Renown:_{reg0} Renown:_{reg0}
qstr_Experience:_{reg0} Experience:_{reg0}
qstr_Days_Passed:_{reg0} Days_Passed:_{reg0}
qstr_Difficulty:_{reg0}% Difficulty:_{reg0}%
qstr_{!}{reg3?+:}{reg0} {!}{reg3?+:}{reg0}
qstr_TOTAL_SCORE:_{reg0} TOTAL_SCORE:_{reg0}
qstr_{!}DEBUG____Adding_{ {!}DEBUG_--_Adding_{reg3}_items_to_{s3}
qstr_None None
qstr_Payment_as_a_lord: Payment_as_a_lord:
qstr_Back Back
qstr_Sell_items_automatic Sell_items_automaticly_when_leaving:
qstr_Auto_sell_items Auto-sell_items
qstr_Click_the_button_abo Click_the_button_above,_then_items_in_the_inventory_of_companions_which_fits_the_conditions_below_will_be_sold_automaticly._Specifically_foods,_trade_goods_and_books_will_never_be_sold.
qstr_Price_limit_for_auto Price_limit_for_auto-sell:
qstr_Item_types_for_auto_ Item_types_for_auto-sell:
qstr_Select_all Select_all
qstr_Select_invert Select_invert
qstr_{s1} {s1}
qstr_Buy_foods_automaticl Buy_foods_automaticly_when_leaving:
qstr_Auto_buy_food Auto-buy_food
qstr_Click_the_button_abov Click_the_button_above,_you_will_buy_food_according_to_the_shopping_list_of_foods_below_automaticly.
qstr_Set_the_portion_of_a Set_the_portion_of_all_food_to:
qstr_{reg2} {reg2}
qstr_Previous Previous
qstr_Next Next
qstr_Class_of_troop Class_of_troop
qstr_Name:_{s1}^Level:_{r Name:_{s1}^Level:_{reg1}
qstr_{s1}^HP:_{reg0} {s1}^HP:_{reg0}
qstr_Attributes Attributes
qstr_{s1}_{reg0}/63_ {s1}({reg0}/63)
qstr_Skills Skills
qstr_{s1}_{reg2}/{reg3}_ {s1}({reg2}/{reg3})
qstr_Proficiencies Proficiencies
qstr_{s1}_{reg0}/699_ {s1}({reg0}/699)
qstr_Equipments Equipments
qstr_Weapons Weapons
qstr_Armors Armors
qstr_Others Others
qstr_Preview:_ Preview:_
qstr_Please_reselect_a_co Please_reselect_a_companion_as_the_commander_for_the_comming_battle.^^Current_commander:_{s0}.
qstr_Arms Arms
qstr_Outfit Outfit
qstr_Horse Horse
qstr_{s1}^HP:_{reg1}/{reg {s1}^HP:_{reg1}/{reg2}
qstr_{reg1}^money_in_the_ {reg1}^money_in_the_chest
qstr_{reg2}^money_in_your {reg2}^money_in_your_inventory
qstr_Withdraw Withdraw
qstr_Deposit Deposit
qstr_Done Done
qstr_Report_shot_distance Report_shot_distance:
qstr_Report_shield_damage Report_shield_damage:
qstr_Show_HP_bars_of_enem Show_HP_bars_of_enemy_troops:
qstr_Show_HP_bars_of_ally Show_HP_bars_of_ally_troops:
qstr_Distance_limit_for_s Distance_limit_for_showing_HP_bars:
qstr_Auto_sort_your_inven Auto-sort_your_inventory_every_24_hours:
qstr_Auto_save_every_24_h Auto-save_every_24_hours:
qstr_Show_daily_hint: Show_daily_hint:
qstr_Disable_NPCs__compla Disable_NPCs'_complaints:
qstr_Movement_speed_of_al Movement_speed_of_all_parties_(%):
qstr_Times_limit_of_a_fac Times_limit_of_a_faction's_rebellion:
qstr_Times_limit_of_a_fact Times_limit_of_a_faction's_restoration:
qstr_Fog_strength:_{reg1} Fog_strength:_{reg1}
qstr_Cloud_amount:_{reg1} Cloud_amount:_{reg1}
qstr_Probability_of_rain/ Probability_of_rain/snow:_{reg1}%
qstr_Battle_Minimap: Battle_Minimap:
qstr_New_Style New_Style
qstr_Old_Style__Small_ Old_Style_(Small)
qstr_Old_Style__Medium_ Old_Style_(Medium)
qstr_Old_Style__Large_ Old_Style_(Large)
qstr_Off Off
qstr_Add_bandit_heroes: Add_bandit_heroes:
